Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Red calfskin passport holder. Exterior: red calfskin and hot-stamped motif. Interior: black calfskin, gold-coloured Cartier logo, three credit card slots, two flat pockets. Dimensions: 137 mm high x 100 mm wide.",,aeid5482 ,£,L3002012,345,Diabolo de Cartier passport holder,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,Double C de Cartier Simple Card Holder in cherry red calfskin with gold and cherry red enamel-finish “Cartier” signature 1 large interior slot and three card slots at the back Dimensions: 100 mm high x 70 mm wide,,aeid5482 ,£,L3001887,265,"Simple Card Holder, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Diabolo de Cartier card holder in red calfskin, hot-stamped motifs, gold hot-stamped “Cartier” signature on the central pocket, two flat pockets on the surfaces. Dimensions: 75 mm high x 100 mm wide.",,aeid5482 ,£,L3002000,220,Diabolo de Cartier simple card holder,aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Double C de Cartier multi-card holder with flap in cherry red calfskin, gold and cherry red enamel-finish “Cartier” signature. Interior: black calfskin, two gusseted compartments, one flat pocket, golden hot stamped “Cartier” signature. Dimensions: 110 mm high x 70 mm wide.",,aeid5482 ,£,L3001900,400,"Multi-card holder with flap, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Six-credit card wallet in graduated leaf green calfskin. Exterior: embossed double C logo, palladium-finish metal corners. Interior: leaf green calfskin, silver-coloured Cartier marking, six credit card slots, two flat pockets. Dimensions: height 91 mm x width 119 mm",,aeid5482 ,£,L3001964,510,"Six-credit card wallet, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Four-credit card holder in graduated leaf green calfskin. Exterior: embossed double C logo, palladium-finish metal corners. Interior: leaf green calfskin, silver-coloured Cartier marking, four credit card slots, two flat pockets. Dimensions: height 107 mm x width 71 mm.",,aeid5482 ,£,L3001963,320,"Four-credit card holder, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Six-credit card wallet in leaf green dots calfskin. Exterior: printed double C logo, gold-finish metal corners. Interior: leaf green calfskin, gold-coloured Cartier marking, six credit card pockets, two banknote pockets. Dimensions: height 91 mm x width 119 mm.",,aeid5482 ,£,L3001961,510,"Six-credit card wallet, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Simple card holder in graduated leaf green calfskin. Exterior: embossed double C logo, palladium-finish metal corners, two credit card slots, one flat pocket. Dimensions: height 70 mm x width 110 mm.",,aeid5482 ,£,L3001962,215,"Simple card holder, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Four-credit card holder in leaf green dots calfskin. Exterior: printed double C logo, golden finish metal corners. Interior: leaf green calfskin, gold-coloured Cartier marking, four credit card pockets, three flat pockets. Dimensions: height 107 mm x width 71 mm.",,aeid5482 ,£,L3001960,320,"Four-credit card holder, Must de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Panthère de Cartier international wallet in cherry red calfskin, gold-finish Cartier signature. Interior: black lambskin, twelve credit card pockets, one zipped coin pocket, two flat pockets, two gussets, gold-coloured Cartier hot stamping. Dimensions: height 190 mm x width 100 mm.",,aeid5482 ,£,L3002044,730,"International wallet with flap, Panthère de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
Add to bag,,,,"Small model chain bag in cherry red calfskin, golden and cherry red enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one zipped pocket, one flat pocket and one signature pocket with removable mirror. One pocket on the back. Lining: black lambskin. Dimensions: 150 mm high x 240 mm wide x 50 mm deep. Shoulder and cross-body carry.",,aeid5482 ,£,L1002310,"2,470","Chain bag small model, Double C de Cartier",aeid5482_cartier,2022-11-03 16:59:22.136624,https://www.cartier.com,,UK,
