Availability,Colors,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
OutofStock,"Black calfskin, gold and black enamel finish",Home/Bags for her,"Small chain bag in cherry red calf leather, gold and black enamel-finish clasp, gold-coloured Cartier signature hot stamped on the inside. Two interior compartments, one flat pocket and one signature pocket. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: height 155 mm x length 260 mm x depth 80 mm. Shoulder and cross-body carry.",,aeid5482,zl,L1002412,14.500,"Small chain bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/small-chain-bag-panthere-de-cartier_cod1647597294937476.html,Poland,bags
OutofStock,"Cherry red calfskin, gold and black enamel finish",Home/Bags for her,"Small chain bag in black calfskin, gold and black enamel-finish clasp, golden embossed “Cartier” signature inside. Two interior compartments, one flat pocket and one signature pocket. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: height 155 mm x width 260 mm x depth 80 mm. Shoulder and cross-body carry.",,aeid5482,zl,L1002411,14.500,"Small chain bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/small-chain-bag-panthere-de-cartier_cod1647597294958533.html,Poland,bags
OutofStock,,Home/Bags for her,"Golden metallic mini chain bag in black calfskin, golden and black enamel-finish clasp, golden hot-stamped “Cartier” signature on the inside. One interior compartment, one flat pocket and one signature pocket. One external flat pocket on the back of the bag. Lining: black lambskin. Removable chain. Dimensions: height 100 mm x width 200 mm x depth 45 mm. Hand and cross-body carry.",,aeid5482,zl,L1002382,11.400,"Mini chain bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/mini-chain-bag-panthere-de-cartier_cod1647597295991174.html,Poland,bags
OutofStock,Black,Home/Bags for her,"Mini chain bag in cherry red calf leather, gold and black enamel-finish clasp, gold-coloured Cartier signature hot stamped on the inside. One interior compartment, one flat pocket and one signature pocket. One external flat pocket on the back of the bag. Lining: black lambskin. Removable chain. Dimensions: height 100 mm x width 200 mm x depth 45 mm. Hand and cross-body carry.",,aeid5482,zl,L1002397,10.600,"Mini chain bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/mini-chain-bag-panthere-de-cartier_cod1647597294937473.html,Poland,bags
OutofStock,"Cherry red calfskin, gold and black enamel finish",Home/Bags for her,"Mini chain bag in black calfskin, golden and black enamel-finish clasp, golden embossed “Cartier” signature inside. One interior compartment, one flat pocket and one signature pocket. One external flat pocket on the back of the bag. Lining: black lambskin. Removable chain. Dimensions: height 100 mm x width 200 mm x depth 45 mm. Hand and cross-body carry.",,aeid5482,zl,L1002396,10.600,"Mini chain bag, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/mini-chain-bag-panthere-de-cartier_cod1647597294937470.html,Poland,bags
OutofStock,,Home/Bags for her,"Mini handle bag in beige calfskin, black enamel and palladium-finish clasp, silver hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 150 mm high x 185 mm wide x 80 mm deep. Hand and cross-body carry.",,aeid5482,zl,L1002392,12.600,"Handle bag mini, Panthère de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/handle-bag-mini-panthere-de-cartier_cod1647597286075091.html,Poland,bags
InStock,"Black,Pink",Home/Bags for her,"Micro chain bag in cherry red calfskin, golden and cherry red enamel-finish clasp, golden embossed “Cartier” signature inside. One inside compartment. One loop on the back. Lining: black lambskin. Removable chain. Dimensions: 80 mm high x 120 mm wide x 40 mm deep. Crossbody, shoulder or belt carry.",,aeid5482,zl,L3002034,5.300,"Chain bag micro, Double C de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/chain-bag-micro-double-c-de-cartier_cod1647597286075147p.html,Poland,bags
InStock,,Home/Bags for her,"Must de Cartier carnassiere bag, medium model, in burgundy calfskin, signature Cartier medallion. Interior: Two gusseted compartments, one zipped pocket, one signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 280 mm high x 230 mm long x 110 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002238,12.100,"Carnassiere bag, Medium, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/carnassiere-bag-medium-must-de-cartier_cod343549805672080.html,Poland,bags
InStock,Black,Home/Bags for her,"Must de Cartier carnassiere bag, small model, in burgundy calfskin, signature Cartier medallion. Interior: One zipped pocket, one signature pocket with removable mirror, one flat pocket with flap. Lining in burgundy lambskin. Dimensions: 250 mm high x 210 mm long x 80 mm deep. Adjustable shoulder strap with gold-finish details for shoulder or crossbody carry.",,aeid5482,zl,L1002239,10.400,"Carnassiere bag, small model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/carnassiere-bag-small-model-must-de-cartier_cod343549805672081.html,Poland,bags
InStock,,Home/Bags for her,"Wallet bag in red calfskin, golden garland motif. Interior: one zipped compartment, 3 flat pockets, 6 credit card slots, a signature pocket with removable mirror, and golden hot stamped “Cartier” signature. Lining: black calfskin. Dimensions: 190 mm high x 120 mm long x 35 mm deep. Shoulder carry with a detachable chain strap.",,aeid5482,zl,L1002220,6.150,"Wallet Bag, Guirlande de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/wallet-bag-guirlande-de-cartier_cod25372685655513841.html,Poland,bags
InStock,"Brown,Black,Blue",Home,"Must de Cartier anthracite calfskin document holder, small model. Zipped closure, palladium-finish metal parts. Exterior: embossed double C logo, one zipped pocket. Interior: black fabric lining, one laptop compartment, one zipped pocket, two additional compartments. Embossed silver-coloured Cartier signature. Dimensions: 210 mm high x 350 mm wide x 60 mm deep. Hand and shoulder carry with adjustable and detachable strap.",,aeid5482,zl,L1002314,10.900,"Document holder small model, Must de Cartier",aeid5482_cartier,2022-11-04 14:36:58.942461,https://www.cartier.com,https://www.cartier.com/en-pl/document-holder-small-model-must-de-cartier_cod20346390236443596.html,Poland,bags
