Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Price_Currency,Product_Price,Product_Title,Source,execution_id,feed_code,record_create_by,record_create_date,site,sku,source_country,type,urls
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K white gold (750/1000), each set with an oval-cut emerald available from 1.00 carat, and paved with brilliant-cut diamonds.",,Not_Available,Cartier Destinée earrings with colored stone,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-with-colored-stone-CRN8515203.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515203,USA,Earrings,
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K white gold (750/1000), each set with a brilliant-cut diamond available in 1.00 to 1.15 carats and 1.50 to 1.69 carats, and paved with brilliant-cut diamonds.",USD,92300.00,Cartier Destinée earrings,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-CRN8515027.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515027,USA,Earrings,
OutOfStock,,Not_Available,Home/Jewelry/All Collections,"Necklace - platinum 950/1000, two cushion-shaped carved emeralds from Zambia totaling 40.70 carats, six carved emerald drops from Zambia totaling 49.52 carats, one 9.10-carat oval-shaped carved ruby from Burma, two cushion-shaped carved sapphires from Burma totaling 16.68 carats, carved sapphires, emeralds and rubies, melon-cut rubies, sapphire, emerald and ruby beads, brilliant-cut diamonds.",,Not_Available,High Jewelry necklace,https://www.cartier.com/en-us/high-jewelry-necklace-CRH7000229.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRH7000229,USA,All Collections,
OutOfStock,,Not_Available,Home/Jewelry/Necklaces,"18K white gold (750/1000) necklace, set with an oval-cut sapphire available from 3.00 to 3.99 carats, and set with pavé diamonds.",Not_Available,Not_Available,High Jewelry necklace,https://www.cartier.com/en-us/jewelry/necklaces/high-jewelry-necklace-H7000508.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,H7000508,USA,Necklaces,
InStock,,Not_Available,Home/High Jewelry/DISCOVER IN BOUTIQUES,"Brooch - 18K white gold (750/1000), onyx, emeralds, 319 brilliant-cut diamonds totaling 1.76 carats",USD,155000.00,Cartier Geometry & Contrast brooch,https://www.cartier.com/en-us/high-jewelry/discover-in-boutiques/cartier-geometry-%26-contrast-brooch-CRH5000045.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRH5000045,USA,DISCOVER IN BOUTIQUES,
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K white gold (750/1000), each set with a cushion-cut diamond available in 1.00 to 1.15 carats and paved with brilliant-cut diamonds.",USD,48000.00,Cartier Destinée earrings,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-CRN8515104.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515104,USA,Earrings,
OutOfStock,,Not_Available,Home/High Jewelry/DISCOVER IN BOUTIQUES,"Brooch - 18K white gold (750/1000), onyx, sapphires, 341 brilliant-cut diamonds totaling 2.52 carats.",USD,150000.00,Cartier Geometry & Contrast brooch,https://www.cartier.com/en-us/high-jewelry/discover-in-boutiques/cartier-geometry-%26-contrast-brooch-CRH5000046.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRH5000046,USA,DISCOVER IN BOUTIQUES,
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K rose gold (750/1000), each set with a brilliant-cut diamond available in 1.00 to 1.15 carats and 1.50 to 1.69 carats, and set with brilliant-cut pavé diamonds.",USD,40900.00,Cartier Destinée earrings,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-CRN8515126.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515126,USA,Earrings,
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K white gold (750/1000), each set with a cushion-cut ruby available from 1.00 carat, and paved with brilliant-cut diamonds.",USD,49600.00,Cartier Destinée earrings with colored stone,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-with-colored-stone-CRN8515208.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515208,USA,Earrings,
OutOfStock,,Not_Available,Home/Jewelry/Necklaces,"18K white gold (750/1000) necklace, set with two oval-cut sapphires available from 3.00 to 3.99 carats, and set with pavé diamonds.",Not_Available,Not_Available,High Jewelry necklace,https://www.cartier.com/en-us/jewelry/necklaces/high-jewelry-necklace-H7000514.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,H7000514,USA,Necklaces,
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K white gold (750/1000), each set with a cushion-cut emerald available from 1.00 carat, and paved with brilliant-cut diamonds.",,Not_Available,Cartier Destinée earrings with colored stone,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-with-colored-stone-CRN8515206.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515206,USA,Earrings,
InStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier d'Amour earrings, white gold 750/1000, each set with a brilliant-cut diamond available in 0.18 to 0.29 carats and 0.50 to 0.59 carats, and paved with brilliant-cut diamonds.",USD,15000.00,Cartier d'Amour earrings,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-damour-earrings-CRN8514800.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8514800,USA,Earrings,
OutOfStock,,Not_Available,Home/Jewelry/Earrings/Diamond collection,"Cartier Destinée earrings, 18K rose gold (750/1000), each set with a brilliant-cut diamond available in 0.50 to 0.59 carat, 1.00 to 1.15 carat, and 1.50 to 1.69 carat, and set with brilliant-cut pavé diamonds.",USD,91600.00,Cartier Destinée earrings,https://www.cartier.com/en-us/jewelry/earrings/diamond-collection/cartier-destinee-earrings-CRN8515124.html,,aeid5482,aeid_cartier,2022-10-27 16:15:43.102744,https://www.cartier.com,CRN8515124,USA,Earrings,
