Availability,Available_Colors_OR_Size,Available_Size,Context_Identifier,Description,Execution_Id,Feed_Code,Price_Currency,Product_Id,Product_Price,Product_Title,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,Type
Add to bag,,,,"Trinity sunglasses in smooth golden-finish and platinum-finish metal, square shape and graduated grey lenses with golden flash. Dimensions: lenses 60 mm, bridge 16 mm, temples 140 mm.",,,€,ESW00484,928,Trinity sunglasses,,,,https://www.cartier.com/en-be/trinity-sunglasses_cod25458910981613341.html,,
Add to bag,,,,"Metal Santos de Cartier sunglasses with smooth champagne golden finish, black lacquer temples and bridge, pilot shape, grey polarised lenses, class 3 solar protection. Dimensions: lenses 60 mm, bridge 14 mm, temples 140 mm.",,,€,ESW00358,978,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981612843.html,,
Add to bag,,,,"Metal sunglasses with a smooth golden finish, aviator shape, double bridge, golden mirror lenses, golden-finish panther heads and black lacquer spots, black composite temple tips, temples with Cartier signature. Dimensions: 60 mm lenses, 13 mm bridge, 140 mm temples.",,,€,ESW00094,928,Panthère de Cartier sunglasses,,,,https://www.cartier.com/en-be/panthere-de-cartier-sunglasses_cod25458910981458388.html,,
Add to bag,,,,"Santos de Cartier sunglasses in smooth and brushed golden-finish metal, golden-finish metal screws, caravan shape and green lenses. Dimensions: lenses 59 mm, bridge 15 mm, temples 140 mm.",,,€,ESW00473,897,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981613335.html,,
Add to bag,,,,"Santos de Cartier sunglasses in smooth and brushed golden-finish metal, golden-finish metal screws, pilot shape and grey lenses. Dimensions: lenses 60 mm, bridge 15 mm, temples 140 mm.",,,€,ESW00475,897,Santos de Cartier sunglasses,,,,https://www.cartier.com/en-be/santos-de-cartier-sunglasses_cod25458910981613339.html,,
,,,,"Medium handle bag in dark green niloticus crocodile skin, black enamel- and gold-finish clasp, gold hot-stamped “Cartier” signature inside. Two inside compartments, one flat pocket and one signature pocket with removable mirror. One external flat pocket on the back of the bag. Lining: black lambskin. Dimensions: 180 mm high x 210 mm wide x 90 mm deep. Hand and cross-body carry.",,,€,L1002337,23.200,"Small model handle bag, Panthère de Cartier",,,,https://www.cartier.com/en-be/small-model-handle-bag-panthere-de-cartier_cod42247633209194359.html,,
Add to bag,,,,"Etincelle de Cartier hoop earrings, small model, rose gold 750/1000, each set with 19 brilliant-cut diamonds totalling 0.27 carats.",,,€,B8301244,3.850,Etincelle de Cartier earrings,,,,https://www.cartier.com/en-be/etincelle-de-cartier-earrings_cod25372685655705128.html,,
Add to bag,,,,"C de Cartier wedding ring, width 3 mm, platinum 950/1000 (for size 52).",,,€,B4232400,1.980,C de Cartier wedding ring,,,,https://www.cartier.com/en-be/c-de-cartier-wedding-ring_cod25458910981763873.html,,
Add to bag,,,,"Must de Cartier triptych wallet in midnight blue calfskin, signature Cartier medallion. Exterior: One coin compartment with a push button. Interior: burgundy calfskin, three slots for credit cards, one banknote compartment, golden hot stamped Cartier marking. Dimensions: 70 mm high x 95 mm wide.",,,€,L3001815,445,"Trifold Wallet, Must de Cartier",,,,https://www.cartier.com/en-be/trifold-wallet-must-de-cartier_cod343549805672135.html,,
Add to bag,,,,"An elegant case to discover or have someone discover Les Heures de Parfum, a repertoire of olfactory moments. These precious, modern and pure fragrances have been carefully pared-down, and feature an exclusive signature that focuses on the senses with highly sophisticated accords.  This gift set consists of 12 x 75ml bottles: I L'Heure Promise, II L'Heure Convoitée, III L'Heure Vertueuse, IV L'Heure Fougueuse, V L'Heure Osée, VI L'Heure Brillante, VII L'Heure Défendue, VIII L'Heure Diaphane, X L'Heure Folle, XI L'Heure Perdue, XII L'Heure Mystérieuse, XIII La Treizième Heure.   I - L’Heure Promise Eau de Toilette INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), ALPHA-ISOMETHYL IONONE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, LINALOOL, BHT, CITRONELLOL, LIMONENE, GERANIOL, CITRAL, EUGENOL.  79% VOL.   II - L'Heure Convoitée Eau de Parfum INGREDIENTS*: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), EUGENOL, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL METHOXYCINNAMATE, ALPHA-ISOMETHYL IONONE, ETHYLHEXYL SALICYLATE, BENZYL BENZOATE, BENZYL SALICYLATE, CITRONELLOL, LINALOOL, GERANIOL, ISOEUGENOL, BENZYL ALCOHOL, FARNESOL, LIMONENE, CITRAL, BHT 79% VOL.   III - L’Heure Vertueuse Eau de Toilette INGREDIENTS*: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE, BENZYL BENZOATE, GERANIOL, CITRAL, BHT, CITRONELLOL.  79% VOL.   IV - L’Heure Fougueuse Eau de Toilette INGREDIENTS*: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), ALPHA-ISOMETHYL IONONE, LINALOOL, LIMONENE, BENZYL ALCOHOL, GERANIOL, ETHYLHEXYL METHOXYCINNAMATE, CITRAL, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, FARNESOL, BHT, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, COUMARIN, EUGENOL 78% VOL.   V - L'Heure Osée Eau de Parfum INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, CITRONELLOL, ETHYLHEXYL METHOXYCINNAMATE, GERANIOL, BHT, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, CITRAL, EUGENOL, BENZYL ALCOHOL, FARNESOL, LINALOOL 78% VOL.   VI - L’Heure Brillante Eau de Toilette INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, BENZYL BENZOATE, LINALOOL, CITRAL, ALPHA-ISOMETHYL IONONE, ETHYLHEXYL METHOXYCINNAMATE, GERANIOL, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, BHT, CITRONELLOL 79% VOL.   VII - L’Heure Défendue Eau de Parfum INGREDIENTS*: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), ALPHA-ISOMETHYL IONONE, ETHYLHEXYL METHOXYCINNAMATE, FARNESOL, BENZYL ALCOHOL, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, BENZYL BENZOATE, BHT, CITRONELLOL, LINALOOL, CINNAMAL, BENZYL CINNAMATE, GERANIOL, LIMONENE, EUGENOL 79% VOL.   VIII - L’Heure Diaphane Eau de Toilette INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), HYDROXYCITRONELLAL, LINALOOL, ETHYLHEXYL METHOXYCINNAMATE, GERANIOL, ALPHA-ISOMETHYL IONONE, CITRONELLOL, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, BHT, CITRAL, LIMONENE, BENZYL BENZOATE, EUGENOL 79% VOL.   X - L’Heure Folle Eau de Toilette INGREDIENTS*: ALCOHOL, WATER, FRAGRANCE, LIMONENE, GERANIOL, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL, METHOXYCINNAMATE, CITRONELLOL, CITRAL, LINALOOL, ETHYLHEXYL SALICYLATE, BHT, ALPHA-ISOMETHYL IONONE, BENZYL ALCOHOL.  79% VOL.   XI - L’Heure Perdue Eau de Parfum INGREDIENTS*: ALCOHOL, PARFUM (FRAGRANCE), AQUA (WATER), ALPHA-ISOMETHYL IONONE, ETHYLHEXYL METHOXYCINNAMATE, CINNAMYL ALCOHOL, ETHYLHEXYL SALICYLATE, BHT, BUTYL METHOXYDIBENZOYLMETHANE, CINNAMAL 80% VOL.  XII - L’Heure Mystérieuse Eau de Parfum INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), ALPHA-ISOMETHYL IONONE, ETHYLHEXYL METHOXYCINNAMATE, LIMONENE, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, BHT, BENZYL BENZOATE, BENZYL ALCOHOL, BENZYL SALICYLATE, ISOEUGENOL 79% VOL.   Eau de Parfum XII La Treizième Heure INGREDIENTS*: ALCOHOL, AQUA (WATER), PARFUM (FRAGRANCE), ALPHA-ISOMETHYL IONONE,",,,€,FC075023,4.200,Les Heures de Parfum Collection Case,,,,https://www.cartier.com/en-be/les-heures-de-parfum-collection-case_cod23841192565662841.html,,
